# name, allowedP, trueP, n, [sentinel], time
hpce.fast_fourier_transform, 8, 8, 16, 4.9362, 3.2127e-006
hpce.fast_fourier_transform, 8, 8, 19, 1.60788, 2.62857e-006
hpce.fast_fourier_transform, 8, 8, 22, 2.40711, 2.33651e-006
hpce.fast_fourier_transform, 8, 8, 26, 1.26226, 2.62857e-006
hpce.fast_fourier_transform, 8, 8, 32, 2.81322, 2.04445e-006
hpce.fast_fourier_transform, 8, 8, 38, 6.15568, 4.08889e-006
hpce.fast_fourier_transform, 8, 8, 45, 2.95318, 3.79683e-006
hpce.fast_fourier_transform, 8, 8, 53, 4.7473, 6.13334e-006
hpce.fast_fourier_transform, 8, 8, 64, 14.1985, 4.38096e-006
hpce.fast_fourier_transform, 8, 8, 76, 1.65633, 7.88572e-006
hpce.fast_fourier_transform, 8, 8, 90, 7.4357, 7.88572e-006
hpce.fast_fourier_transform, 8, 8, 107, 3.58678, 9.34604e-006
hpce.fast_fourier_transform, 8, 8, 128, 5.53084, 9.6381e-006
hpce.fast_fourier_transform, 8, 8, 152, 7.99258, 1.92762e-005
hpce.fast_fourier_transform, 8, 8, 181, 8.10526, 1.69397e-005
hpce.fast_fourier_transform, 8, 8, 215, 5.97507, 1.95683e-005
hpce.fast_fourier_transform, 8, 8, 256, 4.86155, 2.07365e-005
hpce.fast_fourier_transform, 8, 8, 304, 22.3973, 3.79683e-005
hpce.fast_fourier_transform, 8, 8, 362, 4.18397, 3.68e-005
hpce.fast_fourier_transform, 8, 8, 430, 14.4137, 4.26413e-005
hpce.fast_fourier_transform, 8, 8, 512, 10.1029, 4.46858e-005
hpce.fast_fourier_transform, 8, 8, 608, 18.3152, 8.11937e-005
hpce.fast_fourier_transform, 8, 8, 724, 7.20496, 8.82033e-005
hpce.fast_fourier_transform, 8, 8, 861, 9.97479, 0.000100178
hpce.fast_fourier_transform, 8, 8, 1024, 19.7117, 0.000104851
hpce.fast_fourier_transform, 8, 8, 1217, 40.097, 0.000189549
hpce.fast_fourier_transform, 8, 8, 1448, 22.5895, 0.000185753
hpce.fast_fourier_transform, 8, 8, 1722, 16.3501, 0.000219632
hpce.fast_fourier_transform, 8, 8, 2048, 14.2226, 0.000221676
hpce.fast_fourier_transform, 8, 8, 2435, 34.4931, 0.000397499
hpce.fast_fourier_transform, 8, 8, 2896, 39.5912, 0.0003864
hpce.fast_fourier_transform, 8, 8, 3444, 25.428, 0.000443645
hpce.fast_fourier_transform, 8, 8, 4096, 27.2928, 0.000462629
hpce.fast_fourier_transform, 8, 8, 4870, 26.5156, 0.000801715
hpce.fast_fourier_transform, 8, 8, 5792, 47.4219, 0.000826248
hpce.fast_fourier_transform, 8, 8, 6888, 25.4685, 0.000946579
hpce.fast_fourier_transform, 8, 8, 8192, 74.8637, 0.000978706
hpce.fast_fourier_transform, 8, 8, 9741, 55.1308, 0.00171091
hpce.fast_fourier_transform, 8, 8, 11585, 17.8966, 0.00178276
hpce.fast_fourier_transform, 8, 8, 13777, 84.3912, 0.00201699
hpce.fast_fourier_transform, 8, 8, 16384, 77.7499, 0.00211221
hpce.fast_fourier_transform, 8, 8, 19483, 148.231, 0.00365722
hpce.fast_fourier_transform, 8, 8, 23170, 152.583, 0.00398609
hpce.fast_fourier_transform, 8, 8, 27554, 136.307, 0.00434328
hpce.fast_fourier_transform, 8, 8, 32768, 146.986, 0.00451443
hpce.fast_fourier_transform, 8, 8, 38967, 43.113, 0.0082473
hpce.fast_fourier_transform, 8, 8, 46340, 100.126, 0.00847102
hpce.fast_fourier_transform, 8, 8, 55108, 10.0104, 0.00935247
hpce.fast_fourier_transform, 8, 8, 65536, 170.593, 0.0099217
hpce.fast_fourier_transform, 8, 8, 77935, 210.73, 0.0175635
hpce.fast_fourier_transform, 8, 8, 92681, 135.635, 0.0185896
hpce.fast_fourier_transform, 8, 8, 110217, 36.6949, 0.0207386
hpce.fast_fourier_transform, 8, 8, 131072, 102.951, 0.0211086
hpce.fast_fourier_transform, 8, 8, 155871, 342.758, 0.0397052
hpce.fast_fourier_transform, 8, 8, 185363, 167.773, 0.041438
hpce.fast_fourier_transform, 8, 8, 220435, 194.78, 0.0458946
hpce.fast_fourier_transform, 8, 8, 262144, 155.101, 0.0478114
hpce.fast_fourier_transform, 8, 8, 311743, 162.756, 0.0902071
hpce.fast_fourier_transform, 8, 8, 370727, 71.2571, 0.0957154
hpce.fast_fourier_transform, 8, 8, 440871, 168.343, 0.105934
hpce.fast_fourier_transform, 8, 8, 524288, 159.571, 0.113749
hpce.fast_fourier_transform, 8, 8, 623487, 537.712, 0.193596
hpce.fast_fourier_transform, 8, 8, 741455, 428.475, 0.204912
hpce.fast_fourier_transform, 8, 8, 881743, 315.415, 0.228217
hpce.fast_fourier_transform, 8, 8, 1048576, 837.071, 0.246061
hpce.fast_fourier_transform, 8, 8, 1246974, 987.911, 0.405219
hpce.fast_fourier_transform, 8, 8, 1482910, 259.427, 0.427025
hpce.fast_fourier_transform, 8, 8, 1763487, 290.813, 0.475657
hpce.fast_fourier_transform, 8, 8, 2097152, 753.578, 0.508392
hpce.fast_fourier_transform, 8, 8, 2493948, 963.293, 0.846396
hpce.fast_fourier_transform, 8, 8, 2965820, 564.661, 0.895151
hpce.fast_fourier_transform, 8, 8, 3526975, 1529.42, 0.985373
hpce.fast_fourier_transform, 8, 8, 4194304, 2519.66, 1.05396
hpce.fast_fourier_transform, 8, 8, 4987896, 1408.64, 1.78366
hpce.fast_fourier_transform, 8, 8, 5931641, 843.853, 1.86714
hpce.fast_fourier_transform, 8, 8, 7053950, 1603.93, 2.07613
hpce.fast_fourier_transform, 8, 8, 8388608, 1248.03, 2.25723
hpce.fast_fourier_transform, 8, 8, 9975792, 2024.09, 3.79056
hpce.fast_fourier_transform, 8, 8, 11863283, 2915.84, 3.91304
hpce.fast_fourier_transform, 8, 8, 14107900, 2547.17, 4.33269
hpce.fast_fourier_transform, 8, 8, 16777216, 2285.4, 4.66135
hpce.fast_fourier_transform, 8, 8, 19951584, 3685.35, 7.71144
hpce.fast_fourier_transform, 8, 8, 23726566, 2147.63, 8.02556
hpce.fast_fourier_transform, 8, 8, 28215801, 1049.74, 8.8917
hpce.fast_fourier_transform, 8, 8, 33554432, 4658.76, 9.67857
hpce.fast_fourier_transform, 8, 8, 39903169, 2354.08, 16.1152
